POCO,CADASTRO,ESTADO,BACIA,TERRA_MAR,TIPO,CATEGORIA,SITUACAO,INICIO,TERMINO,CONCLUSAO,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DURACAO,ANO_INICIO,ANO_TERMINO
7-CAM-1189D-RN,72100023021,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-05-16,2008-05-22,2008-06-20,"-5,1171197222","-37,2021422222",873.0,911.0,910.0,,,0.0,6,2008,2008
7-CAM-1190D-RN,72100022993,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-05-05,2008-05-11,2008-06-05,"-5,1045683333","-37,2021191666",799.0,933.0,933.0,,,0.0,6,2008,2008
7-CAM-1191D-RN,72100022920,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-03-28,2008-03-31,2008-04-30,"-5,1147622222","-37,2011627777",871.0,0.0,894.0,,,0.0,3,2008,2008
7-CAM-1193-RN,72100022986,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-04-30,2008-05-03,2008-06-12,"-5,1173036111","-37,2006761111",947.0,947.0,947.0,,,0.0,3,2008,2008
7-CAM-1194-RN,72100022873,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-03-08,2008-03-10,2008-04-16,"-5,1330183333","-37,2002752777",733.0,0.0,733.0,,,0.0,2,2008,2008
7-CAM-1195-RN,72100022824,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-02-09,2008-02-11,2008-04-01,"-5,1233544444","-37,2002908333",950.0,0.0,950.0,,,0.0,2,2008,2008
7-CAM-1197-RN,72100023235,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-08-13,2008-08-15,2008-09-25,"-5,1283627777","-37,1983211111",787.0,787.0,787.0,,,0.0,2,2008,2008
7-CAM-1199-RN,72100022837,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-02-15,2008-02-18,2008-03-26,"-5,1242861111","-37,1979808333",950.0,950.0,950.0,,,0.0,3,2008,2008
7-CAM-1200-RN,72100022744,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2007-12-30,2008-01-02,2008-02-11,"-5,1219636111","-37,1970202777",933.0,0.0,933.0,,,0.0,3,2007,2008
7-CAM-1202-RN,72100022786,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-01-18,2008-01-22,2008-06-02,"-5,125265","-37,1956325",957.0,957.0,957.0,,,0.0,4,2008,2008
7-CAM-1203-RN,72100022812,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-02-02,2008-02-05,2008-03-22,"-5,1115363888","-37,1953927777",760.0,0.0,760.0,,,0.0,3,2008,2008
7-CAM-1204-RN,72100023008,RN,Potiguar,T,7,Desenvolvimento,ABANDONADO TEMPORARIAMENTE COM MONITORAMENTO,2008-05-10,2008-05-16,2008-06-05,"-5,1092188888","-37,1945225",703.0,703.0,703.0,,0.0,0.0,6,2008,2008
7-CAM-1206-RN,72100023212,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-08-01,2008-08-04,2008-09-23,"-5,1303208333","-37,1935725",740.0,740.0,740.0,,,0.0,3,2008,2008
7-CAM-1207-RN,72100023145,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-07-08,2008-07-09,2008-08-03,"-5,0873166666","-37,1936538888",708.0,0.0,708.0,,,0.0,1,2008,2008
7-CAM-1208-RN,72100023158,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-07-13,2008-07-18,2008-08-12,"-5,0927430555","-37,1935047222",958.0,0.0,958.0,,,0.0,5,2008,2008
7-CAM-1211-RN,72100023326,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-09-17,2008-09-22,2008-10-15,"-5,0972672222","-37,1894483333",716.0,716.0,716.0,,17.0,0.0,5,2008,2008
7-CAM-1212D-RN,72100023023,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-05-19,2008-05-23,2008-06-22,"-5,0920902777","-37,1891816666",125.0,726.0,701.0,,,0.0,4,2008,2008
7-CAM-1213D-RN,72100023347,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-09-27,2008-10-02,2008-11-11,"-5,1126066666","-37,1884111111",811.0,0.0,861.0,,,0.0,5,2008,2008
7-CAM-1216D-RN,72100025161,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2010-11-02,2010-11-12,2010-12-22,"-5,0714227777","-37,1729238888",-543.0,964.0,,,,0.0,10,2010,2010
7-CAM-1217-RN,72100023053,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-06-01,2008-06-04,2008-06-22,"-5,1235491666","-37,1866158333",827.0,827.0,827.0,,,0.0,3,2008,2008
7-CAM-1218-RN,72100022864,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-03-03,2008-03-05,2008-03-31,"-5,1292611111","-37,1862352777",752.0,0.0,752.0,,,0.0,2,2008,2008
7-CAM-1219-RN,72100023000,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-05-08,2008-05-11,2008-06-07,"-5,1212027777","-37,1855825",842.0,842.0,842.0,,,0.0,3,2008,2008
7-CAM-1221-RN,72100022984,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-04-28,2008-05-03,2008-05-26,"-5,1131447222","-37,1849725",846.0,846.0,846.0,20.0,0.0,0.0,5,2008,2008
7-CAM-1222-RN,72100023095,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-06-15,2008-06-20,2008-08-10,"-5,1186777777","-37,1845661111",957.0,0.0,957.0,,18.0,0.0,5,2008,2008
7-CAM-1224-RN,72100023219,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-08-07,2008-08-09,2008-09-01,"-5,1279075","-37,1828544444",785.0,0.0,785.0,,,0.0,2,2008,2008
7-CAM-1225-RN,72100023300,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-09-02,2008-09-04,2008-10-19,"-5,1158294444","-37,1820238888",850.0,850.0,850.0,,,0.0,2,2008,2008
7-CAM-1227-RN,72100022700,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2007-12-13,2007-12-15,2008-01-10,"-5,1289275","-37,1805330555",801.0,0.0,801.0,,,0.0,2,2007,2007
7-CAM-1228-RN,72100022827,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-02-11,2008-02-12,2008-03-03,"-5,0875894444","-37,1799219444",715.0,715.0,715.0,,,0.0,1,2008,2008
7-CAM-1229-RN,72100022754,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-01-03,2008-01-09,2008-01-27,"-5,1265144444","-37,1795330555",797.0,0.0,797.0,,,0.0,6,2008,2008
7-CAM-1230-RN,72100022735,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2007-12-25,2007-12-30,2008-02-07,"-5,1298744444","-37,1781988888",795.0,0.0,795.0,,,0.0,5,2007,2007
7-CAM-1231-RN,72100023190,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-07-27,2008-07-29,2008-08-17,"-5,0771375","-37,178285",697.0,0.0,697.0,,,0.0,2,2008,2008
7-CAM-1232-RN,72100022858,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-03-03,2008-03-04,2008-04-19,"-5,0804894444","-37,1769322222",720.0,0.0,720.0,,,0.0,1,2008,2008
7-CAM-1233-RN,72100023033,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-05-22,2008-05-25,2008-06-15,"-5,1195922222","-37,17672",715.0,715.0,715.0,,,0.0,3,2008,2008
7-CAM-1234-RN,72100022832,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-02-18,2008-02-20,2008-04-03,"-5,0837061111","-37,1756272222",733.0,0.0,733.0,,,0.0,2,2008,2008
7-CAM-1235-RN,72100023187,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-07-27,2008-07-28,2008-08-26,"-5,1227477777","-37,1754722222",757.0,0.0,757.0,,,0.0,1,2008,2008
7-CAM-1236-RN,72100022874,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-03-08,2008-03-14,2008-05-04,"-5,0815088888","-37,1745594444",738.0,738.0,738.0,,,0.0,6,2008,2008
7-CAM-1237-RN,72100022891,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-03-20,2008-03-21,2008-04-30,"-5,0849094444","-37,1732638888",741.0,0.0,741.0,,,0.0,1,2008,2008
7-CAM-1238-RN,72100022802,RN,Potiguar,T,7,Desenvolvimento,PRODUZINDO,2008-01-26,2008-01-28,2008-02-20,"-5,1238325","-37,1729613888",757.0,757.0,757.0,,,0.0,2,2008,2008
7-CAM-1239-RN,72100023162,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-07-14,2008-07-16,2008-08-11,"-5,1213683333","-37,1720975",760.0,0.0,760.0,,,0.0,2,2008,2008
7-CAM-1240-RN,72100022795,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-01-24,2008-01-28,2008-05-06,"-5,1191122222","-37,1710172222",751.0,0.0,751.0,,,0.0,4,2008,2008
7-CAM-1241-RN,72100022954,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-04-17,2008-04-23,2008-06-07,"-5,1139969444","-37,1633391666",775.0,775.0,775.0,,,0.0,6,2008,2008
7-CAM-1242-RN,72100023173,RN,Potiguar,T,7,Desenvolvimento,FECHADO,2008-07-19,2008-07-23,2008-08-11,"-5,1172588888","-37,1619916666",780.0,0.0,780.0,,,0.0,4,2008,2008
